distance;n_common_business_interest;skills_distinct_sum;common_skills;hobbies_distinct_sum;common_hobbies;proximityScore;businessInterestsScore;skillsScore;hobbiesScore;total_score
400;0;2;2;4;0;20,88;0;0;0;20,88
400;0;4;4;4;0;20,88;0;0;0;20,88
400;0;5;5;4;0;20,88;0;0;0;20,88
400;0;2;2;2;0;20,88;0;0;0;20,88
400;0;4;4;2;0;20,88;0;0;0;20,88
400;0;2;2;3;0;20,88;0;0;0;20,88
400;0;4;4;3;0;20,88;0;0;0;20,88
400;0;3;3;2;0;20,88;0;0;0;20,88
400;0;5;5;3;0;20,88;0;0;0;20,88
400;0;3;3;4;0;20,88;0;0;0;20,88
400;0;5;5;2;0;20,88;0;0;0;20,88
400;0;3;3;3;0;20,88;0;0;0;20,88
300;0;4;4;3;0;24,56;0;0;0;24,56
300;0;2;2;4;0;24,56;0;0;0;24,56
300;0;5;5;3;0;24,56;0;0;0;24,56
300;0;4;4;4;0;24,56;0;0;0;24,56
300;0;3;3;2;0;24,56;0;0;0;24,56
300;0;3;3;3;0;24,56;0;0;0;24,56
300;0;2;2;3;0;24,56;0;0;0;24,56
300;0;4;4;2;0;24,56;0;0;0;24,56
300;0;5;5;2;0;24,56;0;0;0;24,56
300;0;3;3;4;0;24,56;0;0;0;24,56
300;0;5;5;4;0;24,56;0;0;0;24,56
300;0;2;2;2;0;24,56;0;0;0;24,56
400;0;2;2;4;1;20,88;0;0;3,75;24,63
400;0;5;5;4;1;20,88;0;0;3,75;24,63
400;0;4;4;4;1;20,88;0;0;3,75;24,63
400;0;3;3;4;1;20,88;0;0;3,75;24,63
400;0;5;4;4;0;20,88;0;4;0;24,88
400;0;5;4;3;0;20,88;0;4;0;24,88
400;0;5;4;2;0;20,88;0;4;0;24,88
400;0;3;3;3;1;20,88;0;0;5;25,88
400;0;4;3;3;0;20,88;0;5;0;25,88
400;0;4;3;4;0;20,88;0;5;0;25,88
400;0;4;3;2;0;20,88;0;5;0;25,88
400;0;4;4;3;1;20,88;0;0;5;25,88
400;0;2;2;3;1;20,88;0;0;5;25,88
400;0;5;5;3;1;20,88;0;0;5;25,88
400;0;3;2;3;0;20,88;0;6,67;0;27,55
400;0;3;2;2;0;20,88;0;6,67;0;27,55
400;0;3;2;4;0;20,88;0;6,67;0;27,55
300;0;5;5;4;1;24,56;0;0;3,75;28,32
300;0;3;3;4;1;24,56;0;0;3,75;28,32
300;0;4;4;4;1;24,56;0;0;3,75;28,32
300;0;2;2;4;1;24,56;0;0;3,75;28,32
400;0;2;2;4;2;20,88;0;0;7,5;28,38
400;0;5;5;2;1;20,88;0;0;7,5;28,38
400;0;3;3;4;2;20,88;0;0;7,5;28,38
400;0;3;3;2;1;20,88;0;0;7,5;28,38
400;0;4;4;4;2;20,88;0;0;7,5;28,38
400;0;5;5;4;2;20,88;0;0;7,5;28,38
400;0;2;2;2;1;20,88;0;0;7,5;28,38
400;0;4;4;2;1;20,88;0;0;7,5;28,38
300;0;5;4;2;0;24,56;0;4;0;28,56
300;0;5;4;3;0;24,56;0;4;0;28,56
300;0;5;4;4;0;24,56;0;4;0;28,56
400;0;5;4;4;1;20,88;0;4;3,75;28,63
400;0;5;3;2;0;20,88;0;8;0;28,88
400;0;5;3;3;0;20,88;0;8;0;28,88
400;0;5;3;4;0;20,88;0;8;0;28,88
200;0;2;2;2;0;28,9;0;0;0;28,9
200;0;5;5;4;0;28,9;0;0;0;28,9
200;0;3;3;4;0;28,9;0;0;0;28,9
200;0;4;4;2;0;28,9;0;0;0;28,9
200;0;5;5;2;0;28,9;0;0;0;28,9
200;0;2;2;4;0;28,9;0;0;0;28,9
200;0;5;5;3;0;28,9;0;0;0;28,9
200;0;3;3;3;0;28,9;0;0;0;28,9
200;0;4;4;3;0;28,9;0;0;0;28,9
200;0;2;2;3;0;28,9;0;0;0;28,9
200;0;3;3;2;0;28,9;0;0;0;28,9
200;0;4;4;4;0;28,9;0;0;0;28,9
300;0;4;4;3;1;24,56;0;0;5;29,56
300;0;2;2;3;1;24,56;0;0;5;29,56
300;0;5;5;3;1;24,56;0;0;5;29,56
300;0;4;3;2;0;24,56;0;5;0;29,56
300;0;4;3;3;0;24,56;0;5;0;29,56
300;0;3;3;3;1;24,56;0;0;5;29,56
300;0;4;3;4;0;24,56;0;5;0;29,56
400;0;4;3;4;1;20,88;0;5;3,75;29,63
400;0;5;4;3;1;20,88;0;4;5;29,88
400;0;2;1;2;0;20,88;0;10;0;30,88
400;0;4;2;3;0;20,88;0;10;0;30,88
400;0;4;4;3;2;20,88;0;0;10;30,88
400;0;4;2;4;0;20,88;0;10;0;30,88
400;0;4;2;2;0;20,88;0;10;0;30,88
400;0;4;3;3;1;20,88;0;5;5;30,88
400;0;3;3;3;2;20,88;0;0;10;30,88
400;0;2;2;3;2;20,88;0;0;10;30,88
400;0;2;1;3;0;20,88;0;10;0;30,88
400;0;2;1;4;0;20,88;0;10;0;30,88
400;0;5;5;3;2;20,88;0;0;10;30,88
300;0;3;2;2;0;24,56;0;6,67;0;31,23
300;0;3;2;4;0;24,56;0;6,67;0;31,23
300;0;3;2;3;0;24,56;0;6,67;0;31,23
400;0;3;2;4;1;20,88;0;6,67;3,75;31,3
300;0;2;2;4;2;24,56;0;0;7,5;32,06
300;0;3;3;2;1;24,56;0;0;7,5;32,06
300;0;5;5;2;1;24,56;0;0;7,5;32,06
300;0;4;4;4;2;24,56;0;0;7,5;32,06
300;0;5;5;4;2;24,56;0;0;7,5;32,06
300;0;4;4;2;1;24,56;0;0;7,5;32,06
300;0;3;3;4;2;24,56;0;0;7,5;32,06
300;0;2;2;2;1;24,56;0;0;7,5;32,06
400;0;5;5;4;3;20,88;0;0;11,25;32,13
400;0;2;2;4;3;20,88;0;0;11,25;32,13
400;0;4;4;4;3;20,88;0;0;11,25;32,13
400;0;3;3;4;3;20,88;0;0;11,25;32,13
300;0;5;4;4;1;24,56;0;4;3,75;32,32
400;0;5;4;4;2;20,88;0;4;7,5;32,38
400;0;5;4;2;1;20,88;0;4;7,5;32,38
400;0;3;2;3;1;20,88;0;6,67;5;32,55
